Compound;Name;Gene Name;AOP;AOP Name;Event;Event Name;Event Class;AC50;logAC50;Intended Target Family
Aldrin; TOX21_p53_BLA_p4_ratio;TP53;-;-;-;-;-;0.571;-0.243;DNA binding
Aldrin; NHEERL_ZF_144hpf_TERATOSCORE_up;-;-;-;-;-;-;0.800;-9.67e-2;malformation
Aldrin; ATG_RARg_TRANS_up;RARG;-;-;-;-;-;0.912;-4.01e-2;nuclear receptor
Aldrin; ATG_PXRE_CIS_up;NR1I2;60;NR1I2 (Pregnane X Receptor, PXR) activation leading to hepatic steatosis;245;Activation, PXR/SXR ;MIE ;1.90;0.278;nuclear receptor
Aldrin; BSK_BE3C_uPA_up;PLAU;-;-;-;-;-;2.20;0.342;protease
Aldrin; TOX21_ERa_LUC_BG1_Agonist_Counterscreen;ESR1;200;Estrogen receptor activation leading to breast cancer;1181;Activation, Estrogen receptor ;MIE ;2.41;0.383;nuclear receptor
Aldrin; ATG_DR5_CIS_up;RARB;-;;-;;;3.09;0.489;nuclear receptor
Aldrin; ATG_PXR_TRANS_up;NR1I2;60;NR1I2 (Pregnane X Receptor, PXR) activation leading to hepatic steatosis;245;Activation, PXR/SXR ;MIE ;4.04;0.606;nuclear receptor
Aldrin; BSK_hDFCGF_Proliferation_down;-;-;-;-;-;-;4.45;0.648;cell cycle
Aldrin; ATG_RXRb_TRANS_up;RXRB;-;-;-;-;-;7.17;0.855;nuclear receptor
Aldrin; BSK_hDFCGF_VCAM1_down;VCAM1;-;-;-;-;-;7.33;0.865;cell adhesion molecules
Aldrin; BSK_hDFCGF_SRB_down;-;-;-;-;-;-;7.45;0.872;cell cycle
Aldrin; TOX21_ERb_BLA_Agonist_ratio;ESR2;-;-;-;-;-;8.48;0.928;nuclear receptor
Aldrin; BSK_hDFCGF_IP10_down;CXCL10;-;-;-;-;-;8.77;0.943;cytokine
Aldrin; BSK_KF3CT_MMP9_down;MMP9;-;-;-;-;-;8.89;0.949;protease
Aldrin; BSK_3C_Proliferation_down;-;-;-;-;-;-;9.07;0.958;cell cycle
Aldrin; ATG_VDRE_CIS_up;VDR;-;-;-;-;-;9.21;0.964;nuclear receptor
Aldrin; ACEA_AR_antagonist_80hr;AR;187;Anticoagulant rodenticide inhibition of vitamin K epoxide reductase resulting coagulopathy and hemorrhage;1134;Irreversible inhibition of hepatic VKOR by binding of AR at tyrosine 139, Failure to cycle vitamin K epoxide to vitamin K to form vitamin K hydroquinone;MIE ;9.26;0.967;nuclear receptor
Aldrin; BSK_hDFCGF_TIMP1_down;TIMP1;-;-;-;-;-;9.26;0.967;protease inhibitor
Aldrin; BSK_hDFCGF_PAI1_down;SERPINE1;-;-;-;-;-;9.31;0.969;cytokine
Aldrin; BSK_BE3C_MMP1_up;MMP1;-;-;-;-;-;10.4;1.02;protease
Aldrin; BSK_hDFCGF_CollagenIII_down;COL3A1;-;-;-;-;-;10.4;1.02;cell adhesion molecules
Aldrin; TOX21_TSHR_Agonist_ratio;TSHR;-;-;-;-;-;11.1;1.04;gpcr
Aldrin; BSK_KF3CT_IP10_down;CXCL10;-;-;-;-;-;11.2;1.05;cytokine
Aldrin; BSK_hDFCGF_MCSF_down;CSF1;-;-;-;-;-;11.2;1.05;cytokine
Aldrin; BSK_SAg_Proliferation_down;-;-;-;-;-;-;11.3;1.05;cell cycle
Aldrin; ATG_ERa_TRANS_up;ESR1;200;Estrogen receptor activation leading to breast cancer;1181;Activation, Estrogen receptor ;MIE ;11.7;1.07;nuclear receptor
Aldrin; BSK_hDFCGF_MIG_down;CXCL9;-;-;-;-;-;11.9;1.08;cytokine
Aldrin; BSK_SAg_PBMCCytotoxicity_down;-;-;-;-;-;-;12.0;1.08;cell cycle
Aldrin; BSK_3C_uPAR_down;PLAUR;-;-;-;-;-;12.2;1.09;cytokine
Aldrin; BSK_KF3CT_ICAM1_down;ICAM1;-;-;-;-;-;12.2;1.09;cell adhesion molecules
Aldrin; BSK_hDFCGF_MMP1_down;MMP1;-;-;-;-;-;12.4;1.10;protease
Aldrin; BSK_SAg_CD69_down;CD69;-;-;-;-;-;12.5;1.10;cytokine
Aldrin; BSK_SAg_CD38_down;CD38;-;-;-;-;-;12.6;1.10;cytokine
Aldrin; APR_HepG2_CellCycleArrest_72h_dn;-;-;-;-;-;-;13.0;1.11;cell cycle
Aldrin; BSK_3C_IL8_down;CXCL8;-;-;-;-;-;13.3;1.12;cytokine
Aldrin; ACEA_AR_antagonist_AUC_viability;-;-;-;-;-;-;13.9;1.14;cell cycle
Aldrin; ATG_PBREM_CIS_up;NR1I3;107;Constitutive androstane receptor activation leading to hepatocellular adenomas and carcinomas in the mouse and the rat;715;Activation, Constitutive androstane receptor;MIE ;13.9;1.14;nuclear receptor
Aldrin; ACEA_AR_agonist_AUC_viability;-;-;-;-;-;-;14.2;1.15;cell cycle
Aldrin; BSK_3C_Eselectin_down;SELE;-;-;-;-;-;14.3;1.16;cell adhesion molecules
Aldrin; BSK_CASM3C_TissueFactor_down;F3;-;-;-;-;-;14.4;1.16;cytokine
Aldrin; BSK_LPS_Eselectin_down;SELE;-;-;-;-;-;14.6;1.16;cell adhesion molecules
Aldrin; BSK_hDFCGF_IL8_down;CXCL8;-;-;-;-;-;14.6;1.16;cytokine
Aldrin; BSK_LPS_VCAM1_down;VCAM1;-;-;-;-;-;14.8;1.17;cell adhesion molecules
Aldrin; BSK_4H_MCP1_down;CCL2;-;-;-;-;-;14.8;1.17;cytokine
Aldrin; BSK_KF3CT_TGFb1_down;TGFB1;-;-;-;-;-;15.5;1.19;growth factor
Aldrin; BSK_BE3C_IP10_down;CXCL10;-;-;-;-;-;16.3;1.21;cytokine
Aldrin; BSK_4H_SRB_down;-;-;-;-;-;-;16.7;1.22;cell cycle
Aldrin; BSK_KF3CT_TIMP2_down;TIMP2;-;-;-;-;-;17.3;1.24;protease inhibitor
Aldrin; TOX21_ERb_BLA_Antagonist_ratio;ESR2;-;-;-;-;-;17.9;1.25;nuclear receptor
Aldrin; BSK_4H_Eotaxin3_down;CCL26;-;-;-;-;-;18.1;1.26;cytokine
Aldrin; ATG_ERE_CIS_up;ESR1;200;Estrogen receptor activation leading to breast cancer;1181;Activation, Estrogen receptor ;MIE ;19.7;1.30;nuclear receptor
Aldrin; BSK_4H_Pselectin_down;SELP;-;-;-;-;-;19.8;1.30;cell adhesion molecules
Aldrin; APR_HepG2_MitoticArrest_24h_up;-;-;-;-;-;-;20.1;1.30;cell cycle
Aldrin; BSK_SAg_MIG_down;CXCL9;-;-;-;-;-;20.4;1.31;cytokine
Aldrin; ATG_EGR_CIS_up;EGR1;-;-;-;-;-;20.4;1.31;dna binding
Aldrin; BSK_3C_VCAM1_down;VCAM1;-;-;-;-;-;20.5;1.31;cell adhesion molecules
Aldrin; BSK_LPS_IL1a_down;IL1A;-;-;-;-;-;20.8;1.32;cytokine
Aldrin; BSK_3C_HLADR_down;HLA-DRA;-;-;-;-;-;21.1;1.32;cell adhesion molecules
